Set_of_parameters_modelNumber	C_Value	Sigma_Value	Genes	Misclass	Misclass_Error	LogLoss	LogLoss_Error	GOF	GOF_Error	Accuracy0	Accuracy1	Accuracy0_err	Accuracy1_err	MCC
30deg0-16deg1-10deg2_10	10000	10	SLC14A1	0.521317	0.080806	0.707625	0.006448	0.521317	0.080806	0.548387	0.461868	0.131451	0.131938	0.00814217359374873
30deg0-16deg1-2deg2_14	10000	100	ATP5B	0.719749	0.059894	1.127464	0.124032	0.719749	0.059894	0.850000	0.142802	0.103752	0.099240	-0.0081079966746064
30deg0-20deg1-2deg2_9	1000	10	CARD9	0.775549	0.008427	4.094964	1.349116	0.775549	0.008427	0.956452	0.047860	0.011544	0.013061	0.0080604407937744
30deg0-20deg1-0deg2_5	10000	1	FLNC	0.550157	0.040527	0.714772	0.003907	0.550157	0.040527	0.595161	0.414786	0.071384	0.067226	0.0079945263519749
30deg0-10deg1-10deg2_10	10000	10	CDH6	0.753918	0.034540	0.843022	0.020150	0.753918	0.034540	0.908065	0.086381	0.046315	0.053984	-0.00777939588216216
30deg0-20deg1-6deg2_10	10000	10	POU6F1;RBMS2;TAS2R8	0.492163	0.000000	3.386990	0.016805	0.492163	0.000000	0.500000	0.509728	0.000000	0.000000	0.00769978571568041
30deg0-12deg1-4deg2_20	100000	10000	FABP6	0.240752	0.001305	0.679511	0.042059	0.240752	0.001305	0.069355	0.925681	0.002464	0.002127	-0.00753414710320928
30deg0-16deg1-8deg2_3	100	1	TBXA2R	0.700000	0.068872	0.808608	0.034153	0.700000	0.068872	0.817742	0.175097	0.121654	0.114824	-0.00743279360822662
30deg0-10deg1-0deg2_11	100000	10	HNF4A	0.561755	0.053995	0.681092	0.014434	0.561755	0.053995	0.612903	0.396109	0.086824	0.087859	0.00729692179333943
30deg0-14deg1-8deg2_9	1000	10	G0S2;HRH4;KRT32	0.711599	0.000000	0.858078	0.000000	0.711599	0.000000	0.854839	0.151751	0.000000	0.000000	0.00729361101765024
30deg0-10deg1-6deg2_8	100	10	PDIA3	0.735423	0.048108	0.966122	0.087659	0.735423	0.048108	0.877419	0.116732	0.075353	0.077866	-0.00717773347934246
30deg0-6deg1-2deg2_13	1000	100	COL1A1;PHLDA1;CEACAM1	0.254859	0.060502	0.679262	0.028770	0.254859	0.060502	0.091935	0.902724	0.091935	0.097276	-0.00716628531250419
30deg0-6deg1-0deg2_13	1000	100	HNF4A;ATP5B;C1QA	0.731975	0.057994	0.702832	0.003524	0.731975	0.057994	0.887097	0.118677	0.096774	0.095331	0.00709389045891489
30deg0-18deg1-0deg2_10	10000	10	NGF	0.625705	0.074549	0.722817	0.009744	0.625705	0.074549	0.716129	0.291829	0.117155	0.120779	0.00693781253032875
30deg0-20deg1-6deg2_13	1000	100	CLEC4M;RCN3;SRGAP3;TCF4	0.601881	0.000000	0.817063	0.008552	0.601881	0.000000	0.677419	0.330739	0.000000	0.000000	0.0068698084701047
30deg0-20deg1-4deg2_18	100000	1000	RCAN2	0.685893	0.076450	0.833035	0.052932	0.685893	0.076450	0.812903	0.193774	0.124754	0.124985	0.00670172882646669
30deg0-18deg1-2deg2_5	10000	1	COL16A1;MYL1;S100P	0.322884	0.080697	0.653062	0.013296	0.322884	0.080697	0.219355	0.787549	0.131500	0.131831	0.00666357711675767
30deg0-4deg1-4deg2_9	1000	10	CMKLR1	0.269592	0.059896	0.638182	0.013862	0.269592	0.059896	0.116129	0.878599	0.098808	0.098164	-0.00641103420529692
30deg0-8deg1-8deg2_5	10000	1	CBR3;LHX2;QKI	0.784639	0.013251	0.747289	0.001773	0.784639	0.013251	0.969355	0.033463	0.019152	0.021068	0.00625002192761608
30deg0-10deg1-0deg2_8	100	10	GDNF	0.620376	0.073678	0.727621	0.028338	0.620376	0.073678	0.706452	0.300778	0.117785	0.119821	0.00624683961495511
30deg0-14deg1-2deg2_4	1000	1	MME;GPR137B	0.533856	0.085327	0.725873	0.004827	0.533856	0.085327	0.545161	0.447082	0.144479	0.140761	-0.00617168050162917
30deg0-14deg1-2deg2_5	10000	1	MME;GPR137B	0.533856	0.085327	0.725873	0.004827	0.533856	0.085327	0.545161	0.447082	0.144479	0.140761	-0.00617168050162917
30deg0-10deg1-10deg2_9	1000	10	CDH6;REEP1	0.321630	0.080669	0.820101	0.024233	0.321630	0.080669	0.200000	0.793774	0.133333	0.132296	-0.0061025004757052
30deg0-8deg1-4deg2_8	100	10	HRH4;ELN	0.604389	0.054774	0.690363	0.007862	0.604389	0.054774	0.661290	0.331518	0.092185	0.090228	-0.00603898381151264
30deg0-8deg1-4deg2_21	100000	100000	TLR4;BSPRY;RBMS2	0.799060	0.002821	0.750041	0.001873	0.799060	0.002821	0.987097	0.011284	0.005268	0.004728	-0.00598339832820791
30deg0-8deg1-6deg2_2	10	1	MYH8	0.734796	0.055908	2.741373	0.507939	0.734796	0.055908	0.890323	0.114397	0.095354	0.092393	0.00588857758567195
30deg0-16deg1-6deg2_16	1000	1000	FXYD1;PRLR;ATP5B;BMI1	0.677429	0.041903	0.714605	0.004072	0.677429	0.041903	0.782258	0.211673	0.072581	0.069521	-0.00586707151655349
30deg0-16deg1-8deg2_18	100000	1000	BIRC3;JPH2;GTDC1;PAX2	0.359248	0.084181	0.665999	0.021769	0.359248	0.084181	0.261290	0.732296	0.137151	0.137558	-0.00574082251242166
30deg0-20deg1-4deg2_19	10000	10000	MSC	0.792163	0.008412	0.807257	0.011574	0.792163	0.008412	0.980645	0.021401	0.012677	0.013445	0.00564602136799924
30deg0-20deg1-4deg2_13	1000	100	MSC;MRPS12	0.751724	0.053918	0.722656	0.004080	0.751724	0.053918	0.906452	0.089494	0.093548	0.089494	-0.00559759729565682
30deg0-6deg1-6deg2_9	1000	10	CLEC4M;ALX1	0.750157	0.055486	0.715344	0.005943	0.750157	0.055486	0.914516	0.089494	0.085484	0.089494	0.00558073346116959
30deg0-4deg1-0deg2_1	1	1	ATP5B	0.754232	0.048979	0.954980	0.054676	0.754232	0.048979	0.920968	0.082879	0.077257	0.079428	0.00554433245013049
30deg0-2deg1-0deg2_15	100000	100	ATP5B	0.455172	0.095516	0.860165	0.131845	0.455172	0.095516	0.435484	0.571206	0.154105	0.155735	0.00534705317949223
30deg0-4deg1-2deg2_9	1000	10	ATP5B	0.455486	0.095457	0.859766	0.131161	0.455486	0.095457	0.435484	0.570817	0.154105	0.155660	0.00503569176068284
30deg0-10deg1-2deg2_15	100000	100	F13A1	0.681505	0.079703	0.786089	0.067104	0.681505	0.079703	0.790323	0.204669	0.127907	0.129771	-0.0049031110518443
30deg0-20deg1-0deg2_9	1000	10	NGF	0.725392	0.053501	0.724605	0.009606	0.725392	0.053501	0.874194	0.129961	0.083871	0.086641	0.00490251504084958
30deg0-10deg1-6deg2_3	100	1	PRMT1	0.691223	0.070325	0.830041	0.048679	0.691223	0.070325	0.806452	0.188716	0.126361	0.117765	-0.00487732172359807
30deg0-14deg1-10deg2_4	1000	1	FXYD1	0.712539	0.061561	0.929994	0.061610	0.712539	0.061561	0.841935	0.153696	0.105404	0.101839	-0.00478278513752701
30deg0-20deg1-6deg2_20	100000	10000	CPB2	0.490909	0.089613	1.140167	0.224469	0.490909	0.089613	0.477419	0.516732	0.138188	0.144379	-0.00463191789776496
30deg0-16deg1-0deg2_16	1000	1000	ATM;HMG20B;NMT2	0.792476	0.006704	0.802941	0.020337	0.792476	0.006704	0.980645	0.021012	0.009855	0.010699	0.00460632320424389
30deg0-16deg1-0deg2_19	10000	10000	ATM;HMG20B;NMT2	0.792476	0.006704	0.802943	0.020337	0.792476	0.006704	0.980645	0.021012	0.009855	0.010699	0.00460632320424389
30deg0-16deg1-0deg2_20	100000	10000	ATM;HMG20B;NMT2	0.792476	0.006704	0.802940	0.020337	0.792476	0.006704	0.980645	0.021012	0.009855	0.010699	0.00460632320424389
30deg0-16deg1-8deg2_16	1000	1000	POU6F1;SLC1A5;TGFBR3	0.663636	0.079025	0.744835	0.023629	0.663636	0.079025	0.761290	0.233852	0.124536	0.128085	-0.00453518649236576
30deg0-16deg1-8deg2_20	100000	10000	POU6F1;SLC1A5;TGFBR3	0.663636	0.079025	0.744835	0.023629	0.663636	0.079025	0.761290	0.233852	0.124536	0.128085	-0.00453518649236576
30deg0-8deg1-2deg2_2	10	1	ERCC2	0.765517	0.021878	0.794593	0.022136	0.765517	0.021878	0.930645	0.066537	0.036468	0.035740	-0.00445738211492612
30deg0-4deg1-2deg2_6	100000	1	QKI;ELK3;PDIA3;MRPS12	0.677743	0.065123	0.741196	0.001973	0.677743	0.065123	0.796774	0.207782	0.103478	0.105797	0.00445055249019151
30deg0-12deg1-0deg2_1	1	1	CALCOCO1	0.429467	0.096366	0.686550	0.013367	0.429467	0.096366	0.377419	0.617121	0.155454	0.157089	-0.00444711162669607
30deg0-10deg1-2deg2_11	100000	10	BMP2K	0.684953	0.029711	0.770633	0.011687	0.684953	0.029711	0.796774	0.198833	0.053288	0.049645	-0.00434838759559026
30deg0-20deg1-4deg2_5	10000	1	THBS1	0.792163	0.009229	0.767290	0.005138	0.792163	0.009229	0.975806	0.022568	0.016174	0.015322	-0.00430281823315426
30deg0-14deg1-10deg2_5	10000	1	FXYD1	0.473981	0.090062	1.684640	0.471728	0.473981	0.090062	0.464516	0.540856	0.142586	0.146161	0.00426499777623161
30deg0-6deg1-0deg2_5	10000	1	ERCC2;COL1A1;HNF4A;ATP5B;IRAK3	0.685893	0.079833	0.824429	0.051980	0.685893	0.079833	0.809677	0.194553	0.126882	0.129702	0.00423518769072679
30deg0-10deg1-6deg2_13	1000	100	PAIP2B;BMI1	0.684013	0.081087	0.716750	0.006659	0.684013	0.081087	0.806452	0.197665	0.129032	0.131777	0.00409707769189167
30deg0-6deg1-6deg2_12	100	100	RREB1;NOX3;VENTX	0.523511	0.076787	0.691066	0.004492	0.523511	0.076787	0.545161	0.459922	0.123791	0.125175	0.0040363757504087
30deg0-16deg1-6deg2_2	10	1	CYP27A1	0.401567	0.025789	0.677669	0.006650	0.401567	0.025789	0.345161	0.659533	0.036401	0.040761	0.00391722506400244
30deg0-0deg1-2deg2_12	100	100	CD80;DLG2	0.442633	0.098799	0.688709	0.011325	0.442633	0.098799	0.400000	0.595331	0.163299	0.162029	-0.0037655041362978
30deg0-10deg1-10deg2_3	100	1	HPCAL4	0.734169	0.038222	0.748978	0.013878	0.734169	0.038222	0.879032	0.117899	0.069071	0.063960	-0.00375755584124837
30deg0-2deg1-2deg2_13	1000	100	PRLR;POU6F1;DDR2;SYNPO	0.495298	0.040865	0.697314	0.005865	0.495298	0.040865	0.498387	0.506226	0.067855	0.066867	0.00365098329127855
30deg0-2deg1-2deg2_18	100000	1000	PRLR;POU6F1;DDR2;SYNPO	0.495298	0.040865	0.697367	0.005873	0.495298	0.040865	0.498387	0.506226	0.067855	0.066867	0.00365098329127855
30deg0-10deg1-4deg2_6	100000	1	PLXNC1;PADI3	0.688401	0.078161	0.786620	0.036646	0.688401	0.078161	0.812903	0.190661	0.124731	0.127108	0.00359515677900063
30deg0-12deg1-2deg2_7	10	10	LAMA5;CALCOCO1;GRTP1;PNLIP	0.534169	0.096054	0.687321	0.017143	0.534169	0.096054	0.550000	0.445525	0.157233	0.157139	-0.00356209193374967
30deg0-14deg1-6deg2_20	100000	10000	TNC	0.738871	0.021869	0.751251	0.002435	0.738871	0.021869	0.887097	0.110117	0.038168	0.036326	-0.00351419779310508
30deg0-14deg1-2deg2_10	10000	10	RCAN2	0.641066	0.064494	0.721343	0.019653	0.641066	0.064494	0.725806	0.270428	0.104611	0.105254	-0.00335214774596528
30deg0-14deg1-8deg2_16	1000	1000	ADAMTS5	0.622257	0.093375	0.726684	0.015598	0.622257	0.093375	0.695161	0.301167	0.151770	0.152502	-0.00316513258860099
30deg0-14deg1-6deg2_10	10000	10	MSC	0.362069	0.085661	0.647791	0.019296	0.362069	0.085661	0.279032	0.724514	0.142368	0.140667	0.00313835010670995
30deg0-18deg1-4deg2_10	10000	10	MSC	0.362069	0.085661	0.647791	0.019296	0.362069	0.085661	0.279032	0.724514	0.142368	0.140667	0.00313835010670995
30deg0-18deg1-6deg2_1	1	1	REEP1;C1orf21	0.627273	0.090847	0.707914	0.006838	0.627273	0.090847	0.712903	0.290661	0.146288	0.148052	0.0031081021489706
30deg0-4deg1-4deg2_13	1000	100	ZNF668	0.565204	0.098229	0.693301	0.006618	0.565204	0.098229	0.601613	0.394553	0.162648	0.161152	-0.00310306440275373
30deg0-0deg1-2deg2_15	100000	100	CD80;XBP1;HR	0.685893	0.079833	0.740188	0.021163	0.685893	0.079833	0.800000	0.196887	0.133333	0.131258	-0.00309422133461366
30deg0-0deg1-2deg2_19	10000	10000	CD80	0.742633	0.060573	2.985670	0.591159	0.742633	0.060573	0.900000	0.102335	0.100000	0.099310	0.00305453239160443
30deg0-12deg1-0deg2_6	100000	1	ITIH4;PRKCA;MRTO4;ARHGEF1	0.744828	0.058082	0.741767	0.008864	0.744828	0.058082	0.903226	0.098833	0.093245	0.094588	0.00273501090992221
30deg0-8deg1-4deg2_13	1000	100	TAS2R16	0.738871	0.060680	0.715119	0.007542	0.738871	0.060680	0.893548	0.108560	0.099490	0.099317	0.0026858554753935
30deg0-12deg1-6deg2_8	100	10	IL10;BMP2K;PHF20	0.380251	0.091460	6.831461	1.505425	0.380251	0.091460	0.300000	0.696887	0.152753	0.150375	-0.00268171616902066
30deg0-18deg1-4deg2_6	100000	1	QPCTL;GDNF;PAX2;MCTP2	0.632602	0.087723	0.711640	0.010355	0.632602	0.087723	0.712903	0.284047	0.142808	0.143333	-0.00267461556426407
30deg0-18deg1-4deg2_5	10000	1	TAC1	0.718809	0.050737	3.220085	0.544027	0.718809	0.050737	0.854839	0.142802	0.078979	0.082018	-0.00266447746516099
30deg0-10deg1-10deg2_15	100000	100	QPCTL;IRAK3;BAZ2A	0.235110	0.000000	0.666922	0.000000	0.235110	0.000000	0.064516	0.933852	0.000000	0.000000	-0.00260414110251318
30deg0-0deg1-2deg2_20	100000	10000	CD80	0.742947	0.060259	2.931427	0.545311	0.742947	0.060259	0.900000	0.101946	0.100000	0.098920	0.00254914135711255
30deg0-18deg1-2deg2_6	100000	1	COL16A1;MYL1;S100P	0.364263	0.087286	0.653061	0.013296	0.364263	0.087286	0.274194	0.722957	0.141368	0.142440	-0.00252059192537065
30deg0-10deg1-6deg2_9	1000	10	VENTX	0.421630	0.076253	0.718900	0.055847	0.421630	0.076253	0.375806	0.627237	0.129637	0.125888	0.00248944212713263
30deg0-14deg1-10deg2_14	10000	100	GPR137B;IL12A;GNAI1;RCAN2	0.768966	0.036677	0.731195	0.004634	0.768966	0.036677	0.941935	0.059533	0.058065	0.059533	0.0024605060870498
30deg0-4deg1-2deg2_15	100000	100	BIRC3;PRKCA;BSCL2	0.354232	0.000000	0.838308	0.019852	0.354232	0.000000	0.258065	0.739300	0.000000	0.000000	-0.00237655624496398
30deg0-18deg1-0deg2_6	100000	1	PAX4;TUBB6;RPL10A	0.318495	0.080669	0.674006	0.005859	0.318495	0.080669	0.200000	0.797665	0.133333	0.132296	-0.00230184946601112
30deg0-0deg1-2deg2_9	1000	10	CD80;PNLIP	0.681505	0.080669	0.700731	0.004581	0.681505	0.080669	0.800000	0.202335	0.133333	0.132296	0.00230184946601107
30deg0-0deg1-2deg2_7	10	10	CD80	0.380878	0.092472	0.768050	0.134293	0.380878	0.092472	0.301613	0.695720	0.152409	0.151548	-0.0022948235457382
30deg0-6deg1-2deg2_6	100000	1	OLFML2B	0.800313	0.005329	0.922189	0.081699	0.800313	0.005329	0.991935	0.008560	0.008065	0.008560	0.00213815957472737
30deg0-14deg1-4deg2_21	100000	100000	GADD45G	0.239812	0.000522	0.551249	0.010632	0.239812	0.000522	0.072581	0.926070	0.003607	0.000580	-0.00204343774055164
30deg0-18deg1-4deg2_19	10000	10000	HTR2A;PRKCA;GNRH2	0.316301	0.056210	0.639572	0.026710	0.316301	0.056210	0.196774	0.801167	0.095293	0.092732	-0.00204291998002961
30deg0-4deg1-0deg2_15	100000	100	CPB2;ELN	0.737931	0.045141	0.713705	0.009631	0.737931	0.045141	0.887097	0.111284	0.075269	0.074189	-0.00203462544695824
30deg0-10deg1-6deg2_18	100000	1000	PAIP2B;BMI1	0.683072	0.080931	0.698579	0.011415	0.683072	0.080931	0.796774	0.201167	0.127504	0.131204	-0.00203094876846264
30deg0-6deg1-0deg2_18	100000	1000	HNF4A;ATP5B;C1QA;ERCC2;SYK	0.683072	0.064146	0.755893	0.025955	0.683072	0.064146	0.796774	0.201167	0.106479	0.105258	-0.00203094876846264
30deg0-8deg1-8deg2_6	100000	1	UBQLN4;GTF2H5	0.690909	0.076489	0.784867	0.035807	0.690909	0.076489	0.809677	0.188327	0.126882	0.125551	-0.0020185633411012
30deg0-14deg1-0deg2_2	10	1	LAMB3	0.707524	0.019903	0.835826	0.016414	0.707524	0.019903	0.841935	0.159922	0.026426	0.030348	0.00200662892085966
30deg0-18deg1-2deg2_1	1	1	ELN	0.374608	0.044346	0.653283	0.009211	0.374608	0.044346	0.291935	0.705837	0.088193	0.076240	-0.00193565248645833
30deg0-14deg1-0deg2_8	100	10	ACTN1;RPL10A	0.681818	0.081245	0.706853	0.012827	0.681818	0.081245	0.800000	0.201946	0.133333	0.133010	0.00191948611723017
30deg0-16deg1-2deg2_8	100	10	LAMB3;CEACAM8;GNAI1;SOX2	0.803448	0.002194	0.744110	0.001908	0.803448	0.002194	0.996774	0.003502	0.002151	0.003094	0.00186305110107081
30deg0-20deg1-2deg2_10	10000	10	ITIH4	0.796238	0.000000	3.154099	0.072879	0.796238	0.000000	0.983871	0.015564	0.000000	0.000000	-0.0017999619971866
30deg0-8deg1-4deg2_15	100000	100	REEP1;RPL10A;PRKCB;XBP1;ITIH4	0.203762	0.000000	0.497999	0.000054	0.203762	0.000000	0.016129	0.984436	0.000000	0.000000	0.00179996199718648
30deg0-16deg1-10deg2_11	100000	10	ZBP1	0.477116	0.046655	0.701972	0.018095	0.477116	0.046655	0.459677	0.538132	0.077174	0.076487	-0.00173915900050825
30deg0-6deg1-2deg2_1	1	1	ITGBL1;ZNF668	0.712226	0.062278	0.764943	0.010518	0.712226	0.062278	0.845161	0.153307	0.103226	0.102205	-0.00168128582210598
30deg0-0deg1-2deg2_16	1000	1000	CD80	0.440439	0.098757	1.174031	0.278339	0.440439	0.098757	0.400000	0.598054	0.163299	0.161977	-0.00157082442384274
30deg0-0deg1-2deg2_18	100000	1000	CD80;DLG2	0.684639	0.080669	0.729867	0.017212	0.684639	0.080669	0.800000	0.198444	0.133333	0.132296	-0.00154293157703613
30deg0-16deg1-0deg2_13	1000	100	MAPT;CYP27A1;ETS2;TNC	0.429467	0.000000	0.686636	0.000850	0.429467	0.000000	0.387097	0.614786	0.000000	0.000000	0.00153084819739375
30deg0-14deg1-4deg2_1	1	1	C4BPA	0.311912	0.078373	0.671483	0.007586	0.311912	0.078373	0.190323	0.808171	0.126904	0.127894	-0.00151440100038558
30deg0-12deg1-6deg2_3	100	1	TNC	0.747335	0.032014	0.745128	0.007106	0.747335	0.032014	0.903226	0.095720	0.052512	0.052372	-0.00141626492108284
30deg0-8deg1-4deg2_14	10000	100	TAS2R16	0.741379	0.060819	0.715562	0.007618	0.741379	0.060819	0.893548	0.105447	0.099490	0.099483	-0.00129378819185085
30deg0-2deg1-0deg2_2	10	1	AGER	0.477116	0.039566	0.693106	0.007280	0.477116	0.039566	0.464516	0.536965	0.066450	0.065074	0.00117524488677332
30deg0-10deg1-6deg2_10	10000	10	SGK1;TGFBR3	0.611285	0.079346	0.720753	0.002920	0.611285	0.079346	0.683871	0.317510	0.129059	0.129623	0.00117418577020484
30deg0-8deg1-6deg2_3	100	1	MYH8	0.681505	0.076512	2.865602	0.661812	0.681505	0.076512	0.798387	0.202724	0.130397	0.126421	0.00109396006227425
30deg0-14deg1-2deg2_15	100000	100	TNC;PRKCA;ELK3	0.743887	0.046093	0.739202	0.006462	0.743887	0.046093	0.900000	0.100778	0.072642	0.074692	0.00102335080964853
30deg0-8deg1-6deg2_21	100000	100000	MT1H;KCNK12;PRLR;GTDC1	0.637931	0.086584	0.739361	0.029045	0.637931	0.086584	0.724194	0.274708	0.141418	0.141558	-0.000973144302118066
30deg0-14deg1-8deg2_20	100000	10000	ADAMTS5	0.684013	0.081087	0.732234	0.013260	0.684013	0.081087	0.800000	0.199222	0.133333	0.132815	-0.000770553612179866
30deg0-4deg1-2deg2_3	100	1	PNLIP	0.443574	0.061612	0.679833	0.021166	0.443574	0.061612	0.406452	0.592607	0.106087	0.102048	-0.000757882147073823
30deg0-6deg1-0deg2_4	1000	1	ERCC2	0.404702	0.009127	0.611820	0.004106	0.404702	0.009127	0.345161	0.655642	0.023582	0.016953	0.000668655005918227
30deg0-6deg1-2deg2_5	10000	1	OLFML2B	0.789655	0.008597	0.943847	0.048062	0.789655	0.008597	0.974194	0.026070	0.011581	0.013392	0.000656232338331674
30deg0-14deg1-6deg2_9	1000	10	FOXC2;LMO3;IL23A	0.658307	0.000000	0.751357	0.003086	0.658307	0.000000	0.758065	0.241245	0.000000	0.000000	-0.000638055676218118
30deg0-20deg1-0deg2_11	100000	10	NGF	0.513166	0.091022	0.705460	0.013070	0.513166	0.091022	0.522581	0.478210	0.146217	0.148215	0.000626609327525141
30deg0-12deg1-4deg2_13	1000	100	FLI1;GDNF;TAS2R16	0.558621	0.095727	0.700883	0.006308	0.558621	0.095727	0.596774	0.403891	0.158032	0.156945	0.000536316136973243
30deg0-20deg1-6deg2_4	1000	1	SYNE1	0.744201	0.048825	1.289110	0.165059	0.744201	0.048825	0.900000	0.100389	0.089377	0.082139	0.000512384794306441
30deg0-8deg1-8deg2_4	1000	1	SYNE1	0.744201	0.048825	1.289110	0.165059	0.744201	0.048825	0.900000	0.100389	0.089377	0.082139	0.000512384794306441
30deg0-14deg1-6deg2_7	10	10	QPCTL;VAMP5;GRIK3;LMO3	0.585266	0.078504	0.729844	0.019420	0.585266	0.078504	0.638710	0.360700	0.127889	0.128250	-0.0004861477073144
30deg0-20deg1-6deg2_8	100	10	TGFBR3;NMT2	0.737304	0.053168	0.760468	0.015755	0.737304	0.053168	0.888710	0.111673	0.087469	0.087096	0.000481322953669096
30deg0-20deg1-6deg2_9	1000	10	TGFBR3;NMT2	0.737304	0.053168	0.780195	0.018129	0.737304	0.053168	0.888710	0.111673	0.087469	0.087096	0.000481322953669096
30deg0-16deg1-0deg2_6	100000	1	CD3EAP;MRPS12	0.690909	0.076489	0.783433	0.035431	0.690909	0.076489	0.812903	0.187549	0.124731	0.125032	0.000458281632770244
30deg0-20deg1-4deg2_10	10000	10	IGF1	0.365517	0.087242	0.678592	0.007143	0.365517	0.087242	0.280645	0.719844	0.142958	0.142770	0.000430840422054846
30deg0-12deg1-2deg2_12	100	100	ADAMTS5	0.561442	0.099695	0.716000	0.015097	0.561442	0.099695	0.600000	0.399611	0.163299	0.163141	-0.000314247991673233
30deg0-12deg1-2deg2_17	10000	1000	ADAMTS5	0.561442	0.099695	0.715116	0.015259	0.561442	0.099695	0.600000	0.399611	0.163299	0.163141	-0.000314247991673233
30deg0-14deg1-8deg2_12	100	100	ADAMTS5	0.561442	0.099695	0.716000	0.015097	0.561442	0.099695	0.600000	0.399611	0.163299	0.163141	-0.000314247991673233
30deg0-14deg1-8deg2_17	10000	1000	ADAMTS5	0.561442	0.099695	0.715116	0.015259	0.561442	0.099695	0.600000	0.399611	0.163299	0.163141	-0.000314247991673233
30deg0-16deg1-6deg2_8	100	10	NMT2;GRIK3	0.500313	0.101777	0.692472	0.008407	0.500313	0.101777	0.500000	0.499611	0.166667	0.166537	-0.000307858681935558
30deg0-18deg1-0deg2_15	100000	100	MRTO4;BDNF;ACTN1	0.557367	0.093680	3.889733	0.339382	0.557367	0.093680	0.593548	0.406226	0.152764	0.153133	-0.000182086731958902
30deg0-8deg1-0deg2_15	100000	100	ITGBL1;LAMA5	0.557367	0.093680	0.697463	0.003837	0.557367	0.093680	0.593548	0.406226	0.152764	0.153133	-0.000182086731958902
30deg0-10deg1-2deg2_10	10000	10	BMP2K	0.693103	0.022418	0.823184	0.036189	0.693103	0.022418	0.816129	0.184047	0.044413	0.038309	0.000179729227426547
30deg0-14deg1-2deg2_9	1000	10	C4BPA	0.508777	0.099032	0.668532	0.021566	0.508777	0.099032	0.514516	0.485603	0.161978	0.161998	9.42170213619124e-05
30deg0-12deg1-2deg2_11	100000	10	SH3TC1	0.261442	0.060471	2.300121	1.657455	0.261442	0.060471	0.109677	0.890272	0.098954	0.098926	-6.45712226103924e-05
30deg0-0deg1-2deg2_6	100000	1	S100P;PPA2	0.377743	0.093375	0.649376	0.015225	0.377743	0.093375	0.300000	0.700000	0.152753	0.152753	-9.85751467456163e-17
30deg0-10deg1-4deg2_14	10000	100	RPH3AL;BIRC3;QPCTL	0.377743	0.093375	0.673187	0.010739	0.377743	0.093375	0.300000	0.700000	0.152753	0.152753	-9.85751467456163e-17
30deg0-12deg1-0deg2_7	10	10	RPL10A;F13A1;ACTN1	0.377743	0.093375	0.675478	0.012992	0.377743	0.093375	0.300000	0.700000	0.152753	0.152753	-9.85751467456163e-17
30deg0-12deg1-0deg2_18	100000	1000	RPL10A;F13A1;BIRC3	0.377743	0.093375	0.670851	0.010567	0.377743	0.093375	0.300000	0.700000	0.152753	0.152753	-9.85751467456163e-17
30deg0-12deg1-4deg2_7	10	10	S100P;BAK1	0.377743	0.093375	0.701941	0.004483	0.377743	0.093375	0.300000	0.700000	0.152753	0.152753	-9.85751467456163e-17
30deg0-2deg1-2deg2_6	100000	1	BSCL2;PDIA3;GRTP1;CD40	0.377743	0.093375	0.677661	0.014134	0.377743	0.093375	0.300000	0.700000	0.152753	0.152753	-9.85751467456163e-17
30deg0-2deg1-2deg2_16	1000	1000	POU6F1;DDR2;VEGFC	0.377743	0.093375	0.682449	0.006498	0.377743	0.093375	0.300000	0.700000	0.152753	0.152753	-9.85751467456163e-17
30deg0-2deg1-2deg2_19	10000	10000	POU6F1;DDR2;VEGFC	0.377743	0.093375	0.674649	0.012355	0.377743	0.093375	0.300000	0.700000	0.152753	0.152753	-9.85751467456163e-17
30deg0-2deg1-2deg2_20	100000	10000	POU6F1;DDR2;VEGFC	0.377743	0.093375	0.679693	0.008050	0.377743	0.093375	0.300000	0.700000	0.152753	0.152753	-9.85751467456163e-17
30deg0-4deg1-2deg2_14	10000	100	RCN3;PRLR	0.377743	0.093375	0.674027	0.010180	0.377743	0.093375	0.300000	0.700000	0.152753	0.152753	-9.85751467456163e-17
30deg0-4deg1-6deg2_8	100	10	RCN3;PRLR	0.377743	0.093375	0.673752	0.010169	0.377743	0.093375	0.300000	0.700000	0.152753	0.152753	-9.85751467456163e-17
30deg0-6deg1-2deg2_19	10000	10000	C1QA	0.377743	0.093375	1.217049	0.255758	0.377743	0.093375	0.300000	0.700000	0.152753	0.152753	-9.85751467456163e-17
30deg0-0deg1-2deg2_4	1000	1	RCVRN;PHLDA1	0.744514	0.061129	0.747021	0.022169	0.744514	0.061129	0.900000	0.100000	0.100000	0.100000	9.41100149173264e-17
30deg0-10deg1-2deg2_4	1000	1	TUBB6;DLG2	0.744514	0.061129	0.705029	0.004343	0.744514	0.061129	0.900000	0.100000	0.100000	0.100000	9.41100149173264e-17
30deg0-10deg1-4deg2_5	10000	1	PLXNC1	0.744514	0.061129	0.884786	0.058944	0.744514	0.061129	0.900000	0.100000	0.100000	0.100000	9.41100149173264e-17
30deg0-10deg1-4deg2_13	1000	100	TRIP10;RPH3AL	0.744514	0.061129	0.706286	0.002611	0.744514	0.061129	0.900000	0.100000	0.100000	0.100000	9.41100149173264e-17
